id;record_id;data_flow_type;data_type;last_data_load_date;record_counts;data_load_frequency;update_ts
1;88683;cultivate Chair;Exclusive invoice Music;Savings Account withdrawal;78088;Licensed Granite Computer;Hryvnia connecting
2;23302;reinvent cross-media;throughput;Infrastructure;42971;blue Global benchmark;Legacy world-class Jamaican Dollar
3;17513;users capacitor;whiteboard zero defect Internal;Auto Loan Account;6308;web services benchmark;Metal
4;92884;Virgin Islands, British Computers Ergonomic Frozen Chair;secondary quantify backing up;web services synergize;43952;Congolese Franc;Borders Trinidad and Tobago Metrics
5;45052;Refined Human;Shoes neural;multi-byte teal;26777;Bedfordshire;Generic Pa'anga
6;5080;ADP compress;Operative index Borders;visualize;11371;contextually-based Berkshire;XML
7;6433;dynamic Practical;CFP Franc radical;Practical Wooden Shoes;1044;Future Chicken Reduced;Nakfa
8;67711;RAM Designer;Bedfordshire Pizza Oval;Manager Health card;31475;program Response matrix;Bedfordshire Peso Uruguayo Uruguay Peso en Unidades Indexadas
9;61547;scalable reintermediate microchip;Fords;Iranian Rial Coordinator application;26133;Multi-tiered;Wooden lavender Innovative
10;73735;Tennessee;Practical 4th generation Reverse-engineered;innovative;29145;deploy B2C challenge;Ports archive Buckinghamshire
